run_id,timestamp,governor,input_bytes,findings,corroborated,reviewer_status,subject
rev_20260823172334_jmap,2026-08-23T17:23:34.074Z,codex,110657,19,0,codex:self_excluded claude:success antigravity:success copilot:success grok:success,MOMM 1.9.0 release 97af3dd
rev_20260823173747_yowa,2026-08-23T17:37:47.824Z,claude,7963,5,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,MOMM 1.9.1 Setup Center security fixes
rev_20260823174401_xyp4,2026-08-23T17:44:01.503Z,claude,8731,2,0,codex:success claude:self_excluded antigravity:success copilot:success grok:timeout,MOMM 1.9.1 security fixes (post-fix)
rev_20260823174835_cmbz,2026-08-23T17:48:35.965Z,codex,150,0,0,claude:success,setup-center connectivity validation
rev_20260823174849_v8ch,2026-08-23T17:48:49.662Z,codex,150,0,0,antigravity:success,setup-center connectivity validation
rev_20260823174903_fwqw,2026-08-23T17:49:03.544Z,codex,150,0,0,copilot:success,setup-center connectivity validation
rev_20260823174919_8brn,2026-08-23T17:49:19.229Z,codex,150,0,0,grok:success,setup-center connectivity validation
rev_20260823175402_vte1,2026-08-23T17:54:02.002Z,claude,100,0,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,qbasic count 1 to 10
rev_20260823175450_hdaj,2026-08-23T17:54:50.044Z,codex,150,0,0,claude:success,setup-center connectivity validation
rev_20260823175502_w3zc,2026-08-23T17:55:02.088Z,codex,150,0,0,antigravity:success,setup-center connectivity validation
rev_20260823175514_zts1,2026-08-23T17:55:14.633Z,codex,150,0,0,copilot:success,setup-center connectivity validation
rev_20260823175533_geiu,2026-08-23T17:55:33.467Z,codex,150,0,0,grok:success,setup-center connectivity validation
rev_20260823175726_0yp2,2026-08-23T17:57:26.107Z,claude,2,0,0,codex:success,ledger link check
rev_20260823180057_s9vj,2026-08-23T18:00:57.310Z,claude,2,0,0,bogus_route:unsupported,
rev_20260823180105_hk8b,2026-08-23T18:01:05.264Z,claude,2,0,0,codex:success,
rev_20260823180121_vb7g,2026-08-23T18:01:21.820Z,claude,2,0,0,bogus_route:unsupported,
rev_20260823180743_akoq,2026-08-23T18:07:43.142Z,claude,16420,8,0,codex:success claude:self_excluded antigravity:error copilot:success grok:timeout,momm acceptance test plan
rev_20260823181205_xyrg,2026-08-23T18:12:05.431Z,claude,19331,18,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,test plan post-fix
rev_20260823181723_mwa5,2026-08-23T18:17:23.663Z,claude,19482,0,0,codex:timeout claude:self_excluded antigravity:error copilot:success grok:timeout,test plan final
rev_20260823182100_qb6d,2026-08-23T18:21:00.220Z,claude,19484,7,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,test plan final gate
rev_20260824152752_urup,2026-08-24T15:27:52.587Z,claude,8019,4,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,"W*LLY level-flow: multi-exit, loops, minimap"
rev_20260824153125_zbzq,2026-08-24T15:31:25.027Z,claude,9930,9,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,W*LLY level-flow (post-fix)
rev_20260824153743_8pam,2026-08-24T15:37:43.452Z,claude,11176,5,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,W*LLY level-flow (taxonomy)
rev_20260824154052_a3ba,2026-08-24T15:40:52.224Z,claude,12321,3,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,W*LLY level-flow (converged)
rev_20260824154709_9uve,2026-08-24T15:47:09.438Z,claude,12645,4,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,W*LLY level-flow (final)
rev_20260824155203_677c,2026-08-24T15:52:03.571Z,claude,13350,5,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,W*LLY level-flow (final gate)
rev_20260824155507_sn4s,2026-08-24T15:55:07.339Z,claude,14176,6,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,W*LLY level-flow (ship gate)
rev_20260824192446_4t45,2026-08-24T19:24:46.412Z,claude,52200,2,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:success,"momm UX fixes: triage surfacing, agreement merge, gitignore, temp warning"
rev_20260826183918_wyl3,2026-08-26T18:39:18.977Z,codex,51711,13,0,claude:success antigravity:success copilot:success grok:success,
rev_20260827072502_8k01,2026-08-27T07:25:02.012Z,codex,124423,10,1,codex:self_excluded claude:success antigravity:success copilot:success grok:success,Pet Singer cross-layer project review
rev_20260827072819_v669,2026-08-27T07:28:19.184Z,codex,150,0,0,claude:success,setup-center connectivity validation
rev_20260827072838_p4i6,2026-08-27T07:28:38.869Z,codex,150,0,0,gemini:ineligible_tier,setup-center connectivity validation
rev_20260827072858_i3r3,2026-08-27T07:28:58.102Z,codex,150,0,0,antigravity:success,setup-center connectivity validation
rev_20260827072903_29l3,2026-08-27T07:29:03.421Z,codex,150,0,0,copilot:success,setup-center connectivity validation
rev_20260827072917_vnnz,2026-08-27T07:29:17.382Z,codex,150,0,0,grok:success,setup-center connectivity validation
rev_20260827072936_431q,2026-08-27T07:29:36.096Z,codex,150,0,0,gemini:ineligible_tier,setup-center connectivity validation
rev_20260827073352_tdiz,2026-08-27T07:33:52.087Z,codex,211,0,0,claude:success gemini:ineligible_tier antigravity:success copilot:success grok:success,
rev_20260827073928_fxgv,2026-08-27T07:39:28.123Z,codex,53561,4,0,claude:success antigravity:success copilot:success grok:success,MyAutoness 1.2.0 focused skill release
rev_20260827075423_tg1m,2026-08-27T07:54:23.337Z,codex,66204,4,0,claude:success antigravity:success copilot:success grok:success,MyAutoness 1.2.0 post-fix release gate
rev_20260827085739_rpd8,2026-08-27T08:57:39.256Z,claude,78158,2,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260827103424_fcfm,2026-08-27T10:34:24.416Z,claude,6802,0,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:timeout,
rev_20260827103853_8wtf,2026-08-27T10:38:53.856Z,claude,6802,16,0,codex:success grok:success,
